id,type,rating,dibl,dibu,song,episode,episodeID,episodeType,episodeLength,cleaned_rating,rating_numeric,dibl_copy,dibl_numeric
1,Big Mac,3/5,Not Done,1,- No Song -,Big Mac Sausage,f5wvSQdkgXA,Standard,04:37,3,3.0,Not Done,
2,Spaghetti and Meatballs,2/5,Not Done,1,- No Song -,Spaghetti ans Meatballs Sausage,qNZ08y8d7RY,Standard,04:02,2,2.0,Not Done,
3,Entire KFC Big Box Meal,5/5,Not Done,1,- No Song -,Entire KFC Big Box Meal Sausage,Ve9mlKn4FTs,Standard,02:51,5,5.0,Not Done,
4,Sushi,0/5,Not Done,1,- No Song -,Sushi Sausage,qOdHN0k4N34,Standard,02:30,0,0.0,Not Done,
5,Pizza Rolls,1/5,Not Done,0,- No Song -,Pizza Rolls Sausage,CVn4PMK1XvM,Standard,02:45,1,1.0,Not Done,
6,Taco Bell Crunchy Taco,1/5,Not Done,1,- No Song -,Taco Bell Crunchy Taco Sausage,Bmx5S1NKqTk,Standard,03:29,1,1.0,Not Done,
7,Vanilla Cake,4/5,Not Done,1,- No Song -,Vanilla Cake Sausage,qP1HMK7Qcj4,Milestone Special,04:32,4,4.0,Not Done,
8,St Patrick's Day Corned Beef and Cabbage,5/5,Not Done,0,- No Song -,St Patrick's Day Corned Beef and Cabbage Sausage,BGC9Tw-RkDQ,Holiday Special,04:53,5,5.0,Not Done,
9,Vienna Sausage,0/5,Not Done,1,- No Song -,Vienna Sausage Sausage,F2gQ7PYxzaw,Standard,03:46,0,0.0,Not Done,
10,Panda Express Orange Chicken and Chow Mein,2/5,Yes,1,- No Song -,Panda Express Orange Chicken and Chow Mein,TOJ6jmUtM20,Standard,05:20,2,2.0,Yes (No Rating),
11,Passover,1/5,Not Done,1,- No Song -,Passover Sausage,2ERi6bhzRbY,Holiday Special,07:06,1,1.0,Not Done,
12,Easter Surprise,1/5,Not Done,1,- No Song -,Easter Surprise Sausage,ZqB1kcHMe3Q,Holiday Special,04:09,1,1.0,Not Done,
13,Arby's Big Beef and Cheddar,2/5,Not Done,1,- No Song -,Arby's Big Beef and Cheddar Sausage,URVLma3onpQ,Standard,05:18,2,2.0,Not Done,
14,Fruit Salad,0/5,Not Done,1,- No Song -,Reaction Sausage,xmA0snstBeQ,Milestone Special,06:12,0,0.0,Not Done,
15,McDonald's Chicken McNugget Barbecue,2/5,Yes,1,The Gambler,McDonald's Chicken McNugget Sausage,EwtduKn6LOQ,Standard,06:15,2,2.0,Yes (No Rating),
16,McDonald's Chicken McNugget Honey Mustard,3/5,Yes,1,The Gambler,McDonald's Chicken McNugget Sausage,EwtduKn6LOQ,Standard,06:15,3,3.0,Yes (No Rating),
17,Bloomin Onion,1/5,Not Done,1,Down Under,Bloomin Onion Sausage,tfNg_Wcm9Rc,Standard,06:15,1,1.0,Not Done,
18,MRE Menu 7: Beef Brisket,Disqualified,Not Done,1,- No Song -,MRE Sausage: Menu 7 Beef Brisket,s7VcVGXBHHI,Standard,08:12,Disqualified,,Not Done,
19,Egg Roll,3/5,Not Done,0,- No Song -,Egg Roll Sausage,3VTMG2fWx18,Standard,06:37,3,3.0,Not Done,
20,Lobster,5/5,Not Done,0,Rock the Casbah,Lobster Sausage,cnhhGk_ALeg,Standard,04:39,5,5.0,Not Done,
21,Water,0/5,Not Done,0,- No Song -,Water Sausage,sMk4SPd8wmk,Standard,01:00,0,0.0,Not Done,
22,Pickle (Whole),0/5,Not Done,0,- No Song -,100K Sausage,FjRY5murMXA,Milestone Special,05:15,0,0.0,Not Done,
23,Pickle (Relish),1/5,Not Done,0,- No Song -,100K Sausage,FjRY5murMXA,Milestone Special,05:15,1,1.0,Not Done,
24,Pickle and Pork,4/5,Not Done,0,- No Song -,100K Sausage,FjRY5murMXA,Milestone Special,05:15,4,4.0,Not Done,
25,Chipotle Steak Burrito,3/5,Yes,1,Genie in a Bottle,Chipotle Steak Burrito Sausage,XBuQehx1SDw,Standard,03:41,3,3.0,Yes (No Rating),
26,Denny's Original Grand Slam,3/5,Not Done,0,- No Song -,Denny's Original Grand Slam Sausage,U4Jd-yYhBBk,Standard,04:24,3,3.0,Not Done,
27,Literally Just Eggs,3/5,Not Done,0,- No Song -,Literally Just Eggs Sausage,vo8X2hBjq6M,Standard,00:59,3,3.0,Not Done,
28,Beef Heart,4/5,Not Done,0,My Way,Beef Heart Sausage,zvf3cHxkIRo,Standard,05:00,4,4.0,Not Done,
29,Strawberry,0/5,Not Done,1,- No Song -,Popcorn Sausage,zvf3cHxkIRo,Standard,01:03,0,0.0,Not Done,
30,MRE: Rib-shaped BBQ Patties,Disqualified,Not Done,1,"Pure Imagination, Fly Me To The Moon, Wonderwall",MRE Sausage Livestream,8YqWMJVp8A0,Livestream Recording,60:31,Disqualified,,Not Done,
31,MRE: White Chicken Chunks,0/5,Yes,1,"Take On Me, Country Roads, Baby Shark, Africa, Barbara Ann, Big Iron, Killer Queen, Billie Jean, Rasputin, Beat it",MRE Sausage Livestream,8YqWMJVp8A0,Livestream Recording,60:31,0,0.0,Yes (No Rating),
32,Marie Calendar's Chicken Pot Pie,2/5,Yes,1,- No Song -,Marie Calendar's Chicken Pot Pie Sausage,wpJbAZH68Ps,Standard,02:54,2,2.0,Yes (No Rating),
33,Hot Dog,1/5,Yes,0,- No Song -,Hot Dog Sausage,fCBtHbjek04,Standard,01:02,1,1.0,Yes (No Rating),
34,An Entire Fish,0/5,Not Done,0,"Take Me to the River, Entry Of The Gladiators",An Entire Fish Sausage,q3keZ0KAYNo,Standard,05:32,0,0.0,Not Done,
35,Candy,1/5,Not Done,1,- No Song -,Candy Sausage,ox0P8fDde90,Standard,01:09,1,1.0,Not Done,
36,Panda Express Orange Chicken Redux,3/5,Not Done,1,- No Song -,Panda Express Orange Chicken Sausage Redux,U5bZ97bKFbM,Standard,04:26,3,3.0,Not Done,
37,Panda Express Orange Chicken and Honeynut Shrimp,2/5,Not Done,1,- No Song -,Panda Express Orange Chicken Sausage Redux,U5bZ97bKFbM,Standard,04:26,2,2.0,Not Done,
38,Panda Express Honeynut Shrimp,1/5,Not Done,1,- No Song -,Panda Express Orange Chicken Sausage Redux,U5bZ97bKFbM,Standard,01:08,1,1.0,Not Done,
39,Ice,1/5,Not Done,1,- No Song -,Ice Sausage,jM26FaLgPPw,Standard,01:09,1,1.0,Not Done,
